English,Gloss_Translation
"Helen Keller was a famous deaf-blind woman. She was an author, lecturer, and activist.","HELEN KELLER FAMOUS DEAF-BLIND WOMAN. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] AUTHOR LECTURER ACTIVIST ALSO."
"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","MATT HAMILL NMF:PERSON DEAF WRESTLER

POINT-RIGHT HE WIN THREE NCAA NATIONAL CHAMPIONSHIP

ALSO WIN SILVER GOLD MEDAL DEAFLYMPICS

ALSO MOVIE ABOUT POINT-RIGHT HE LIFE TITLE ""THE HAMMER"""
Ludwig van Beethoven was a famous composer from Germany who became deaf. He was still able to create and play music.,LUDWIG VAN BEETHOVEN FAMOUS COMPOSER FROM GERMANY BECOME DEAF ['POINT-RIGHT HE'] STILL CREATE PLAY MUSIC
"Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play ""Children of a Lesser God.""","FS:PHYLLIS FS:FRELICH SN:PHYLLIS-FRELICH DEAF ACTRESS FAMOUS WHY WIN NINETEEN-EIGHTY BEST ACTRESS TONY AWARD PLAY TITLE ""CHILDREN OF A LESSER GOD"""
My plumber is short and bald.,PLUMBER MY SHORT BALD
"Robert Davila served as the ninth president of Gallaudet University from 2007 to 2009. Prior to becoming the president of Gallaudet University, he was the first Deaf CEO of the National Technical Institute for the Deaf.","ROBERT DAVILA SERVE PRESIDENT NINE GALLAUDET UNIVERSITY FROM TWO THOUSAND SEVEN TO TWO THOUSAND NINE. BEFORE BECOME PRESIDENT GALLAUDET UNIVERSITY, POINT-RIGHT HE FIRST DEAF CEO NATIONAL TECHNICAL INSTITUTE FOR DEAF."
Sir John Cornforth was a deaf chemist who won the Nobel Prize in Chemistry in 1975.,DEAF CHEMIST NAME FS:JOHN FS:CORNFORTH WIN NOBEL PRIZE CHEMISTRY YEAR NINETEEN SEVENTY-FIVE
My sister is a very famous chef.,SISTER MY CHEF FAMOUS VERY
"Morris Broderson is a deaf painter. His artwork has been displayed many places, such as at Gallaudet University, NTID, and the Guggenheim and Whitney Museums.",MORRIS BRODERSON DEAF PAINTER. HIS ARTWORK DISPLAY NMF:MANY PLACE INCLUDE GALLAUDET UNIVERSITY NTID ALSO GUGGENHEIM WHITNEY MUSEUM
Keith Wann is a CODA and well-known ASL performer and comedian.,FS:KEITH FS:WANN SN:KEITH-WANN CODA ALSO WELL-KNOWN FS:ASL PERFORMER COMEDIAN
My mom teaches kindergarten.,MOM TEACH KINDERGARTEN
CJ Jones is a famous Deaf actor and comedian. He says “Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!”,"CJ JONES FAMOUS DEAF ACTOR ALSO COMEDIAN. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] SAY ANYTHING POSSIBLE. SUCCESS NOTHING CONNECT DEAF NMF:OR BLACK NMF:OR ANY DISABILITY. SUCCESS CONNECT YOUR PASSION DO GREATER THINGS LIFE."
Roy Holcomb was a deaf teacher who coined the term total communication.,ROY HOLCOMB DEAF TEACHER. HE INVENT TERM MEAN WHAT TOTAL COMMUNICATION.
It is important that you vote for the new U.S. President.,U.S. PRESIDENT NEW YOU VOTE IMPORTANT
"Thomas H. Gallaudet was a minister, educator, and co-founded the first school for the deaf called the American School for the Deaf in Hartford, Connecticut. Gallaudet University was named in honor of him in 1894.",THOMAS H. GALLAUDET WHO MINISTER EDUCATOR ALSO CO-FOUND FIRST SCHOOL DEAF NAME AMERICAN SCHOOL FOR DEAF PLACE HARTFORD CONNECTICUT. GALLAUDET UNIVERSITY NAME HONOR HIM YEAR EIGHTEEN NINETY-FOUR.
I am the vice president of my tennis club.,ME TENNIS CLUB VICE PRESIDENT
My son volunteers every week at the animal shelter.,SON MY VOLUNTEER EVERY-WEEK ANIMAL SHELTER
"Rush Limbaugh is a radio host. He is deaf, but uses cochlear implants to hear.","RUSH LIMBAUGH RADIO HOST. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] DEAF BUT COCHLEAR-IMPLANT USE HEAR"
"I love books, so growing up I always wanted to become a librarian.",ME LOVE BOOKS GROW-UP ALWAYS WANT BECOME LIBRARIAN
Laurent Clerc is one of the founders of the first school for the deaf here in America.,LAURENT CLERC ONE FOUNDER FIRST DEAF SCHOOL AMERICA
The receptionist at my doctor's office is not friendly.,DOCTOR OFFICE RECEPTIONIST NOT-FRIENDLY
Sean Forbes is a deaf hip-hop artist who makes music accessible to the deaf community.,SEAN FORBES WHO DEAF HIP-HOP ARTIST. HE MUSIC CREATE HOW DEAF COMMUNITY ACCESS-CAN
The pharmacist answers questions about medications.,PHARMACIST MEDICINE QUESTION ANSWER
My mentor has helped me a lot.,MY MENTOR SUPPORT-ME HELP-ME NMF:A-LOT
"Ashley Fiolek is a Deaf Motocross Racer. She started motorcycling when she was three years old. She won four Woman Motocross Championships in 2008, 2009, 2011, 2012. She is now retired.","FS:ASHLEY FS:FIOLEK SN:ASHLEY-FIOLEK DEAF MOTOCROSS RACER

AGE THREE MOTORCYCLING START

WOMAN MOTOCROSS CHAMPIONSHIP WIN FOUR TIME YEAR TWO-THOUSAND EIGHT TWO-THOUSAND NINE TWO-THOUSAND ELEVEN TWO-THOUSAND TWELVE

NOW RETIRE FINISH"
"Alexander Graham Bell was a famous inventor who was involved in deaf education, but ironically he did not support the use of American Sign Language.",ALEXANDER GRAHAM BELL FAMOUS INVENTOR INVOLVED DEAF EDUCATION BUT IRONY POINT-RIGHT HE SUPPORT NOT AMERICAN SIGNING
Douglas Tilden is a famous deaf sculptor and has many statues that he created in California.,"DOUGLAS TILDEN FAMOUS DEAF SCULPTOR CALIFORNIA STATUE NMF:MANY ['POINT-RIGHT HE', 'NMF:PERSON MAN'] CREATE"
"Curtis Pride is deaf and was a baseball player. He played for many teams, such as the Detroit Tigers, Atlanta Braves, and New York Yankees. He is currently the coach for the Gallaudet University baseball team.","CURTIS PRIDE DEAF BASEBALL PLAYER PAST. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] PLAY NMF:MANY TEAM INCLUDE DETROIT TIGERS ATLANTA BRAVES NEW YORK YANKEES. NOW ['POINT-RIGHT HE', 'NMF:PERSON MAN'] COACH GALLAUDET UNIVERSITY BASEBALL TEAM."
Betty G. Miller was the first deaf woman to graduate from Gallaudet University with a PhD degree in art. She was a famous artist who focused on the deaf perspective.,"BETTY G. MILLER FIRST DEAF WOMAN GRADUATE GALLAUDET UNIVERSITY PHD ART. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] FAMOUS ARTIST FOCUS DEAF PERSPECTIVE."
"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.","FS:LOU FS:FERRIGNO SN:LOU-FERRIGNO NMF:PERSON DEAF PART MOTIVATIONAL SPEAKER ['POINT-RIGHT HE', 'NMF:PERSON MAN'] LIFE EXPERIENCE SHARE

['POINT-RIGHT HE', 'NMF:PERSON MAN'] MOVIE TV-SHOW NMF:MANY APPEAR

BUT FAMOUS MOST WHY INCREDIBLE HULK PLAY"
Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek.,HOWIE SEAGO WHO DEAF ACTOR DIRECTOR. POINT-RIGHT HE FAMOUS WHY NMF:MANY ROLE INCLUDE STAR TREK ACT
"Chuck Baird was an artist and founder of the De'VIA art movement, which conveys a Deaf world viewpoint through art.",CHUCK BAIRD WHO ARTIST ALSO DE'VIA ART MOVEMENT FOUNDER. DE'VIA MEAN WHAT? SHOW DEAF WORLD VIEW THROUGH ART.
Shelley Beattie was a deaf professional weightlifter who became famous after being on the TV show American Gladiators.,SHELLEY BEATTIE DEAF PROFESSIONAL WEIGHTLIFTER FAMOUS WHY TV SHOW AMERICAN GLADIATORS APPEAR
I'm a teacher.,NMF:ME TEACHER
"My daughter took a chance when she quit her job and started her own company. Luckily, it has taken off and is successful.",DAUGHTER POINT-RIGHT SHE BRAVE QUIT JOB START OWN COMPANY. LUCKY COMPANY GROW SUCCESSFUL.
How did you come to work?,YOU WORK COME HOW
I teach.,NMF:ME TEACH
My daughter earns good tips working as a waitress.,DAUGHTER MY WORK WAITRESS EARN GOOD TIP
My daughter earns good tips working as a waitress.,DAUGHTER MY WORK WAITRESS EARN GOOD TIP
I used to work at the Indiana School for the Deaf.,NMF:ME PAST WORK WHERE INDIANA SCHOOL FOR DEAF
Please be on time for work.,WORK YOU ARRIVE ON-TIME PLEASE
Equality is important in the workplace.,WORKPLACE EQUALITY IMPORTANT
The dinner party was awkward because most of us did not know each other.,DINNER PARTY AWKWARD WHY MOST PEOPLE NOT-KNOW EACH-OTHER
Apple's business plan is top secret.,APPLE BUSINESS PLAN TOP SECRET
I think it is supposed to rain all week.,WEEK FUTURE RAIN MAYBE ALL-WEEK
You need to take a bath!,YOU BATH TIME
"Your room is dirty, please clean it.",YOUR ROOM DIRTY YOU CLEAN PLEASE
"If it is snowing, you should drive slowly.",SNOW HAPPEN YOU DRIVE CAREFUL SLOW
I have a fake tooth.,ME TOOTH ONE FAKE HAVE
That is an ugly shirt!,SHIRT UGLY
I collect shiny pennies.,ME COLLECT PENNY SHINY
Your idea is absurd!,YOUR IDEA ABSURD NMF:DISMISSIVE
My car broke down on the bridge.,CAR MY BRIDGE BREAK-DOWN
I have many candles in my house.,NMF:ME HOUSE CANDLE NMF:MANY HAVE
Teaching my kids to help other people builds good character.,ME TEACH MY CHILDREN HELP OTHER PEOPLE GROW GOOD CHARACTER
Detectives investigate crime.,DETECTIVE INVESTIGATE CRIME
The elevator got stuck on the 3rd floor.,ELEVATOR STUCK FLOOR THREE
My best friend has one blue eye and one brown eye.,MY BEST FRIEND EYE ONE BLUE ONE BROWN
It’s important to have a good handshake.,HANDSHAKE GOOD IMPORTANT
I heard Bill is having heart problems.,NMF:ME HEAR BILL HEART PROBLEM HAVE
Please shave your mustache.,PLEASE YOUR MUSTACHE SHAVE
Our country needs peace.,COUNTRY NEED PEACE
My bedroom is purple.,BEDROOM MY COLOUR PURPLE
There was a pretty rainbow after the rain showers.,RAIN FINISH RAINBOW BEAUTIFUL APPEAR
You can't put a price on freedom.,FREEDOM VALUE CANNOT
The adoption process takes a lot of time.,ADOPT PROCESS LONG TIME TAKE
I started my own business.,NMF:ME OWN BUSINESS START
"When I was a Girl Scout, I learned how to build a fire.",ME BEFORE GIRL-SCOUT LEARN HOW BUILD FIRE
My mechanic is popular because he is honest.,MY MECHANIC POPULAR WHY? ['POINT-RIGHT HE'] HONEST NMF:THAT-IS-IT
Next week I’m going to a workshop on self-improvement.,NEXT WEEK NMF:ME GO WORKSHOP TOPIC SELF-IMPROVEMENT
Do you know any good jokes?,YOU KNOW FUNNY JOKE ANY?
I want to play outdoors!,ME WANT PLAY OUTSIDE
Can I look at your wedding photographs.,WEDDING PHOTOGRAPH YOUR NMF:ME LOOK-AT POSSIBLE
I am going to try to preserve my wedding gown.,NMF:ME WEDDING DRESS TRY KEEP SAFE FUTURE
The bank near my house was robbed two times!,BANK NEAR MY HOME ROBBED TWO TIME FINISH
The security guard at the bank is scary looking.,BANK SECURITY GUARD LOOK SCARY
Don't forget to send your thank you cards!,REMEMBER SEND THANK-YOU CARD
I have been under a lot of stress recently.,NMF:ME RECENT STRESS HEAVY EXPERIENCE
I gave my sweetheart flowers.,NMF:ME SWEETHEART FLOWER GIVE
I enjoy using technology to help people.,ME ENJOY USE TECHNOLOGY HELP PEOPLE
"My vision is bad, I need new glasses.",NMF:ME VISION BAD NEW GLASSES NEED
Do you want to build a snowman?,YOU WANT BUILD SNOWMAN QUESTION-MARK
I am lucky to have a very big bathtub.,NMF:ME LUCKY HAVE BATHTUB BIG NMF:VERY
You should wear a tie to the business meeting.,BUSINESS MEETING YOU WEAR TIE IMPORTANT
I take my cell phone everywhere.,NMF:ME MOBILE PHONE CARRY-ON EVERYWHERE
Don't forget to put a stamp on the envelope.,ENVELOPE STAMP PUT-ON REMEMBER
I lost a sock in the laundry.,LAUNDRY SOCK ONE NMF:ME LOSE
The police caught the thief hiding in his car.,POLICE CATCH THIEF NMF:HIDING CAR INSIDE
Our mailman is friendly.,POSTMAN POINT-POSSESSIVE FRIENDLY
I need to backup my computer.,COMPUTER NMF:ME BACKUP IMPORTANT
The ampersand is a shortcut for the word and.,"AMPERSAND SYMBOL SHORTCUT MEAN WHAT WORD ""AND"""
My Bachelor's degree is in Special Education.,MY DEGREE BACHELOR SPECIAL EDUCATION FOCUS
"If you want to clarify your goals, you need to form a vision first.",GOALS CLARIFY YOU WANT HOW? FIRST VISION CREATE IMPORTANT
Laughter is good for your mental health.,LAUGH GOOD MENTAL-HEALTH IMPROVE
"Wait a moment, the phone is ringing.",WAIT PHONE RING
"In 1947, Rhulin Thomas became the first deaf pilot to fly from coast-to-coast in the U.S. alone.",YEAR NINETEEN-FORTY-SEVEN PERSON NAME R-H-U-L-I-N T-H-O-M-A-S FIRST DEAF PILOT FLY ALONE COAST-TO-COAST AMERICA
I encourage my students to attend college.,NMF:ME ENCOURAGE MY STUDENTS ATTEND UNIVERSITY
I enjoy playing with my cousins at my grandmother's house.,ME ENJOY PLAY WITH COUSINS GRANDMOTHER HOUSE
My sister is Deaf and goes to Gallaudet University.,SISTER MY DEAF GALLAUDET UNIVERSITY GO
I like to take the train to Chicago.,CHICAGO TRAIN NMF:ME LIKE GO
I visited Gallaudet University two years ago.,NMF:ME VISIT GALLAUDET UNIVERSITY TWO YEAR AGO
I need to buy new comfortable shoes before I go to Disney World.,DISNEY WORLD NMF:ME GO BEFORE NEW COMFORTABLE SHOES BUY MUST
My son is going to law school at the University of Michigan.,SON MY LAW SCHOOL GO UNIVERSITY FS:MICHIGAN
The pet store has 10 workers.,PET SHOP WORKER TEN
I can't wait for my vacation so I can relax!,VACATION NMF:ME EXCITED RELAX
"Andrew Foster was a famous Deaf African American who was a reverend, educator, and missionary. He established the first school for the deaf in Africa.","ANDREW FOSTER WHO FAMOUS DEAF AFRICAN AMERICAN REVEREND EDUCATOR MISSIONARY ALSO. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] ESTABLISH FIRST DEAF SCHOOL WHERE AFRICA."
You have to take a boat to get to Mackinac Island.,MACKINAC ISLAND GO-TO BOAT MUST
I bought a new camera before my vacation.,NMF:ME NEW CAMERA BUY BEFORE HOLIDAY
My family is going to grandma's house for Easter.,EASTER FAMILY GRANDMA HOUSE GO
Cal Rodgers was a deaf pilot. He made the first transcontinental airplane flight after crashing several times along the way.,CAL RODGERS DEAF PILOT. POINT-RIGHT HE FIRST AIRPLANE TRAVEL ACROSS AMERICA. JOURNEY CRASH MANY TIME BUT FINISH SUCCESS.
I hope when I go to Las Vegas that I get a 7 or 11 when I roll the dice.,LAS VEGAS NMF:ME GO HOPE DICE ROLL SEVEN NMF:OR ELEVEN NMF:ME GET
The 98 year old man is in good health because he lives in Florida.,MAN NINETY-EIGHT YEAR-OLD HEALTH GOOD WHY FLORIDA LIVE
We saw Mickey Mouse on our trip to Florida.,"WE FLORIDA VISIT, MICKEY-MOUSE SEE"
I enjoy visiting Tennessee because of their beautiful mountains.,NMF:ME ENJOY VISIT FS:TENNESSEE WHY MOUNTAIN BEAUTIFUL
My friend Lisa lives in a posh neighborhood.,MY FRIEND FS:LISA LIVE AREA POSH
My dream is to live near the ocean.,DREAM MY LIVE NEAR SEA
Terence Parkin is a deaf swimmer from South Africa. He won the silver medal in the Olympics in 2000.,"TERENCE PARKIN DEAF SWIMMER FROM SOUTH-AFRICA. OLYMPICS TWO-THOUSAND ['POINT-RIGHT HE', 'NMF:PERSON MAN'] WIN SILVER MEDAL."
Men in the south tend to be very courteous.,SOUTH MEN TEND POLITE VERY
"The soldiers went to Washington, D.C. today for a special memorial ceremony.",SOLDIER GROUP TODAY GO WASHINGTON D.C. WHY SPECIAL MEMORIAL CEREMONY
Michigan has black squirrels.,MICHIGAN HAVE BLACK SQUIRREL
I enjoy going to art museums.,ART MUSEUM ME ENJOY VISIT
I wish I could go to Florida now.,FLORIDA NMF:ME WISH GO NOW
The novelist traveled through Europe looking for inspiration for her next novel.,NOVELIST TRAVEL THROUGH EUROPE WHY SEARCH INSPIRATION FOR NEXT NOVEL
Ludwig van Beethoven was a famous composer from Germany who became deaf. He was still able to create and play music.,"LUDWIG VAN BEETHOVEN FAMOUS COMPOSER FROM GERMANY BECOME DEAF ['POINT-RIGHT HE', 'NMF:PERSON MAN'] STILL CREATE PLAY MUSIC"
"Robert Davila served as the ninth president of Gallaudet University from 2007 to 2009. Prior to becoming the president of Gallaudet University, he was the first Deaf CEO of the National Technical Institute for the Deaf.","ROBERT DAVILA SERVE PRESIDENT NINE GALLAUDET UNIVERSITY FROM TWO THOUSAND SEVEN TO TWO THOUSAND NINE. BEFORE BECOME PRESIDENT GALLAUDET UNIVERSITY, POINT-RIGHT HE FIRST DEAF CEO NATIONAL TECHNICAL INSTITUTE FOR DEAF."
Many people in third world countries experience hunger.,THIRD WORLD COUNTRIES PEOPLE NMF:MANY EXPERIENCE HUNGER
My family goes to the strawberry farm every summer.,FAMILY MY STRAWBERRY FARM GO EVERY SUMMER
"I did not like visiting Washington, D.C. because there was too much traffic.",WASHINGTON D.C. NMF:ME VISIT LIKE NOT WHY TRAFFIC TOO-MUCH
We visited a lighthouse on our vacation last week.,LAST WEEK WE HOLIDAY GO-TO LIGHTHOUSE VISIT
Florida is famous for having hurricanes.,FLORIDA FAMOUS WHY HURRICANE HAPPEN OFTEN
We ate at an Italian restaurant for my birthday celebration.,BIRTHDAY MY CELEBRATE ITALIAN RESTAURANT WE EAT
"After my long vacation, all of my plants had died.",VACATION LONG FINISH ME COME-BACK PLANT ALL DIE BEEN
"Morris Broderson is a deaf painter. His artwork has been displayed many places, such as at Gallaudet University, NTID, and the Guggenheim and Whitney Museums.",MORRIS BRODERSON DEAF PAINTER. HIS ARTWORK DISPLAY NMF:MANY PLACE INCLUDE GALLAUDET UNIVERSITY NTID ALSO GUGGENHEIM WHITNEY MUSEUM
My best friend lives in California.,MY BEST FRIEND LIVE WHERE CALIFORNIA
My grandparents live in The Villages in Florida in the winter.,WINTER GRANDPARENTS LIVE WHERE FS:THE-VILLAGES FLORIDA
"Thomas H. Gallaudet was a minister, educator, and co-founded the first school for the deaf called the American School for the Deaf in Hartford, Connecticut. Gallaudet University was named in honor of him in 1894.",THOMAS H. GALLAUDET WHO MINISTER EDUCATOR ALSO CO-FOUND FIRST SCHOOL DEAF NAME AMERICAN SCHOOL FOR DEAF PLACE HARTFORD CONNECTICUT. GALLAUDET UNIVERSITY NAME HONOR HIM YEAR EIGHTEEN NINETY-FOUR.
There are too many mosquitos when I camp in the wilderness.,WILDERNESS CAMP NMF:ME MOSQUITO NMF:MANY
United States of America became independent from Great Britain in 1784 after the ratification of the Treaty of Paris.,AMERICA INDEPENDENT FROM BRITAIN WHEN YEAR ONE-THOUSAND SEVEN-HUNDRED EIGHTY-FOUR HAPPEN WHY TREATY PARIS AGREE FINISH
I saw a fancy gingerbread house on my cruise last Christmas.,LAST CHRISTMAS ME CRUISE GO-ON SEE FANCY GINGERBREAD HOUSE
I’m afraid to go to the library because the librarian is a grouch.,LIBRARY NMF:ME AFRAID GO WHY LIBRARIAN GRUMPY
Laurent Clerc is one of the founders of the first school for the deaf here in America.,LAURENT CLERC ONE FOUNDER FIRST DEAF SCHOOL AMERICA
Don’t goof off in class!,CLASS FOCUS PAY-ATTENTION MESS-AROUND NO
I bought a new bikini for spring break.,NMF:ME BUY NEW BIKINI FOR-FOR SPRING BREAK
"The weatherman in Florida has an easy job, the forecast is the same everyday - sunny with possible rain.",FLORIDA WEATHERMAN JOB EASY WHY? FORECAST EVERYDAY SAME - SUNNY POSSIBLE RAIN
The receptionist at my doctor's office is not friendly.,DOCTOR OFFICE RECEPTIONIST NOT-FRIENDLY
It is important to unplug your electronics when you go on vacation.,HOLIDAY GO-AWAY IMPORTANT REMEMBER ELECTRONICS UNPLUG
Hawaii is a great place to go surfing.,HAWAII NMF:AMAZING PLACE SURF
Douglas Tilden is a famous deaf sculptor and has many statues that he created in California.,"DOUGLAS TILDEN FAMOUS DEAF SCULPTOR CALIFORNIA STATUE NMF:MANY ['POINT-RIGHT HE', 'NMF:PERSON MAN'] CREATE"
"Curtis Pride is deaf and was a baseball player. He played for many teams, such as the Detroit Tigers, Atlanta Braves, and New York Yankees. He is currently the coach for the Gallaudet University baseball team.","CURTIS PRIDE DEAF BASEBALL PLAYER PAST. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] PLAY NMF:MANY TEAM INCLUDE DETROIT TIGERS ATLANTA BRAVES NEW YORK YANKEES. NOW ['POINT-RIGHT HE', 'NMF:PERSON MAN'] COACH GALLAUDET UNIVERSITY BASEBALL TEAM."
Betty G. Miller was the first deaf woman to graduate from Gallaudet University with a PhD degree in art. She was a famous artist who focused on the deaf perspective.,"BETTY G. MILLER FIRST DEAF WOMAN GRADUATE GALLAUDET UNIVERSITY PHD ART. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] FAMOUS ARTIST FOCUS DEAF PERSPECTIVE."
"After retirement in 10 years, I plan to move to Florida.",TEN YEAR FUTURE RETIRE FINISH NMF:ME PLAN MOVE FLORIDA
They dye the river green for St. Patrick's Day in Chicago every year.,CHICAGO EVERY-YEAR ST-PATRICK'S-DAY RIVER DYE GREEN
This year I went on vacation to New York.,THIS-YEAR NMF:ME HOLIDAY GO-TO NEW-YORK BEEN
I am from Indiana.,NMF:ME FROM FS:INDIANA
Where are you from?,YOU FROM WHERE?
New York is in the east.,NEW YORK EAST LOCATION
Our country needs peace.,COUNTRY NEED PEACE
You can't put a price on freedom.,FREEDOM VALUE CANNOT
The United States presidential inauguration is a ceremony to recognize a new president.,UNITED-STATES PRESIDENT INAUGURATION CEREMONY MEAN RECOGNIZE NEW PRESIDENT
It is important that you vote for the new U.S. President.,U.S. PRESIDENT NEW YOU VOTE IMPORTANT
I love to cook hamburgers on the grill.,NMF:ME LOVE COOK HAMBURGER GRILL
I like to ice skate on our pond.,NMF:ME LIKE ICE-SKATE OUR POND
I like to be active and not sit and watch TV all day.,ME PREFER ACTIVE NOT SIT WATCH TV ALL-DAY
My favorite author is me!,FAVORITE AUTHOR ME SELF
I love anything that has chocolate in it.,NMF:ME LOVE ANYTHING CHOCOLATE HAVE INSIDE
Do you like to watch baseball?,YOU LIKE WATCH BASEBALL WHAT
I like to eat cheese on my broccoli.,NMF:ME LIKE CHEESE EAT ON BROCCOLI
I enjoy playing with my cousins at my grandmother's house.,ME ENJOY PLAY WITH COUSINS GRANDMOTHER HOUSE
I like to watch college football games.,NMF:ME LIKE WATCH COLLEGE FOOTBALL GAMES
Do you like Arby’s or Wendy’s french fries better?,YOU PREFER WHICH FRENCH FRIES BETTER NMF:OR ARBY'S WENDY'S
I like to learn about a building's history.,ME LIKE LEARN BUILDING HISTORY
My favorite vegetable is corn on the cob.,VEGETABLE FAVORITE ME CORN-ON-COB
My favorite kind of popcorn is kettle corn.,POPCORN FAVORITE MY WHICH KETTLE-CORN
I enjoy reading children's picture books.,ME ENJOY READ CHILDREN PICTURE BOOK
I love watching sports every Saturday.,EVERY SATURDAY NMF:ME LOVE WATCH SPORTS
My favorite time to swim is 8 in the morning.,SWIM FAVORITE TIME MORNING EIGHT
I like to play the drums as loudly as I can.,NMF:ME LIKE DRUM PLAY LOUD MAXIMUM
I like to take the train to Chicago.,CHICAGO TRAIN NMF:ME LIKE GO
My aunt makes the best cakes!,MY AUNT CAKE MAKE BEST
M&M's are my favorite kind of candy.,M&M'S POINT-DOWN FAVOURITE SWEET ME
Do you like chocolate ice cream?,YOU LIKE CHOCOLATE ICE-CREAM LIKE-WHAT
What kind of computer do you prefer? A Mac or a PC?,COMPUTER YOU PREFER WHICH MAC NMF:OR PC
I love to make and eat chocolate chip cookies!,NMF:ME LOVE CHOCOLATE CHIP COOKIES MAKE EAT
I like to drink a big glass of milk after exercising.,NMF:ME EXERCISE FINISH MILK BIG-GLASS DRINK LIKE
My favorite class is science.,MY FAVOURITE CLASS SCIENCE
I love the smell of the flowers in the spring.,SPRING FLOWER SMELL NMF:ME LOVE
Would you like a cup of tea?,TEA CUP YOU WANT
I like bacon and eggs for breakfast.,BREAKFAST ME LIKE WHAT BACON EGGS
I love to bake chocolate chip cookies!,NMF:ME LOVE BAKE CHOCOLATE CHIP COOKIES
The kids like to eat crackers and cheese.,CHILDREN LIKE EAT WHAT CRACKERS CHEESE ALSO
My cat likes to chase frogs.,CAT MINE FROG CHASE ENJOY
I like to eat microwave popcorn for a snack.,ME LIKE EAT SNACK WHAT POPCORN MICROWAVE
I enjoy visiting Tennessee because of their beautiful mountains.,NMF:ME ENJOY VISIT FS:TENNESSEE WHY MOUNTAIN BEAUTIFUL
The best time of year to buy peaches is during the summer.,PEACH BUY BEST TIME SUMMER ALL-THE-WAY-THROUGH
I love pizza!,NMF:ME PIZZA LOVE
My mother’s baked potato soup is the BEST!,MOTHER POTATO SOUP COOK BEST
My mother’s favorite flower is a rose.,MOTHER FAVORITE FLOWER ROSE
Santa loves hot chocolate and cookies.,SANTA LOVE HOT CHOCOLATE ALSO COOKIES
Simple recipes are the best because you don't have to buy many ingredients.,RECIPE SIMPLE BEST WHY? INGREDIENTS NMF:MANY BUY NOT-NEED
Would you like a slice of tomato on your sandwich?,SANDWICH YOU WANT TOMATO SLICE ADD WHAT
I enjoy going to art museums.,ART MUSEUM ME ENJOY VISIT
I enjoy biking in the autumn.,AUTUMN NMF:ME ENJOY BIKE
Mr. Shelton is one of my favorite customers.,MR FS:SHELTON SN:SHELTON CUSTOMER FAVORITE MY ONE
My cat's favorite food is tuna.,CAT MY FAVORITE FOOD TUNA
My least favorite class in school is geography.,SCHOOL ME CLASS GEOGRAPHY WORST LIKE
I like watching people play the piano.,NMF:ME LIKE WATCH PEOPLE PIANO PLAY
I enjoy carving Halloween pumpkins.,HALLOWEEN PUMPKIN NMF:ME ENJOY CARVE
I enjoy using technology to help people.,ME ENJOY USE TECHNOLOGY HELP PEOPLE
Chemistry is my favorite class in school.,SCHOOL CLASS LIST CHEMISTRY MY FAVOURITE
I love peanut butter with pretzels.,NMF:ME LOVE PEANUT-BUTTER PRETZEL TOGETHER
I love to wear flip-flops in the summer.,SUMMER NMF:ME LOVE WEAR FLIP-FLOPS
"I did not like visiting Washington, D.C. because there was too much traffic.",WASHINGTON D.C. NMF:ME VISIT LIKE NOT WHY TRAFFIC TOO-MUCH
I really like to fish with my dad.,NMF:ME ENJOY FISH WITH DAD
I love to read poetry every night before bed.,ME LOVE READ POETRY EVERY NIGHT BEFORE SLEEP
What kind of soft drink would you like - Coke or Pepsi?,SOFT DRINK YOU WANT WHICH NMF:QUESTION COKE NMF:OR PEPSI
I hate pirate movies!,NMF:ME PIRATE FILM HATE
"I love books, so growing up I always wanted to become a librarian.",ME LOVE BOOKS GROW-UP ALWAYS WANT BECOME LIBRARIAN
I love eating pretzels dipped in chocolate.,NMF:ME LOVE PRETZEL CHOCOLATE DIP EAT
My favorite website is SigningSavvy.com.,FAVORITE WEBSITE ME FS:SIGNINGSAVVY.COM
I like to eat my donuts with coffee.,ME LIKE EAT DONUTS WITH COFFEE
"I like to watch the movie ""Elf"" on Christmas Eve.","CHRISTMAS EVE ME LIKE WATCH MOVIE ""ELF"""
I hate shopping on Black Friday.,BLACK FRIDAY SHOPPING ME NMF:HATE
I enjoy shopping on Cyber Monday.,CYBER MONDAY ME ENJOY SHOPPING
