English,Gloss,Href
"Alexander Graham Bell was a famous inventor who was involved in deaf education, but ironically he did not support the use of American Sign Language.",A-G-B HIMSELF FAMOUS INVENTOR INVOLVED DEAF EDUCATION BUT IRONICALLY HE NOT SUPPORT A-S-L.,https://www.signingsavvy.com/sentences/deafculture/5283
Douglas Tilden is a famous deaf sculptor and has many statues that he created in California.,D-O-U-G-L-A-S T-I-L-D-E-N HIMSELF FAMOUS DEAF SCULPTOR CALIFORNIA HAS MANY HIS STATUES ALL OVER (classifier).,https://www.signingsavvy.com/sentences/deafculture/5284
"Curtis Pride is deaf and was a baseball player. He played for many teams, such as the Detroit Tigers, Atlanta Braves, and New York Yankees. He is currently the coach for the Gallaudet University baseball team.","C-U-R-T-I-S P-R-I-D-E HIMSELF DEAF BASEBALL PLAYER. HE USED-TO PLAY DIFFERENT DIFFERENT DIFFERENT TEAMS ONE-OF-THREE DETROIT T-I-G-E-R-S, TWO-OF-THREE ATLANTA B-R-A-V-E-S, THREE-OF-THREE NEW YORK Y-A-N-K-E-E-S. NOW HE COACH GALLAUDET UNIVERSITY BASEBALL TEAM.",https://www.signingsavvy.com/sentences/deafculture/5285
Betty G. Miller was the first deaf woman to graduate from Gallaudet University with a PhD degree in art. She was a famous artist who focused on the deaf perspective.,B-E-T-T-Y G M-I-L-L-E-R SHE FIRST DEAF WOMAN GRADUATE GALLAUDET RECEIVE #PHD DEGREE WHAT? ART. SHE FAMOUS ARTIST WHY? SHE FOCUS DEAF VIEW.,https://www.signingsavvy.com/sentences/deafculture/5286
"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.",L-O-U F-E-R-R-I-G-N-O HIMSELF HARD OF HEARING MOTIVATIONAL SPEAKER ABOUT HIS CUMULATIVE EXPERIENCES. HE ACT MANY MOVIES #TV PROGRAMS BUT MOST FAMOUS ROLE WHAT? T-H-E I-N-C-R-E-D-I-B-L-E H-U-L-K.,https://www.signingsavvy.com/sentences/deafculture/5287
Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek.,H-O-W-I-E S-E-A-G-O HIMSELF DEAF ACTOR DIRECTOR. HE FAMOUS MANY ROLES INCLUDING #TV PROGRAM S-T-A-R T-R-E-K.,https://www.signingsavvy.com/sentences/deafculture/5288
"Chuck Baird was an artist and founder of the De'VIA art movement, which conveys a Deaf world viewpoint through art.",C-H-U-C-K B-A-I-R-D HIMSELF DEAF ARTIST HE FOUNDED D-E V-I-A MEANS WHAT? SHOW-ALL (conveys) DEAF WORLD VIEWPOINT THROUGH ART.,https://www.signingsavvy.com/sentences/deafculture/5289
Shelley Beattie was a deaf professional weightlifter who became famous after being on the TV show American Gladiators.,S-H-E-L-L-E-Y B-E-A-T-T-I-E HERSELF DEAF P-R-O WEIGHTLIFTER. SHE BECAME FAMOUS WHY? SHE INVOLVED #TV PROGRAM AMERICAN G-L-A-D-I-A-T-O-R-S.,https://www.signingsavvy.com/sentences/deafculture/5290
I enjoy having a conversation with my deaf friends.,MY DEAF FRIENDS I ENJOY CONVERSATION.,https://www.signingsavvy.com/sentences/deafculture/5980
"Lowell Myers was a deaf man who grew up in Chicago. He wrote the book, ""The Law and the Deaf.”","L-O-W-E-L-L M-Y-E-R-S HIMSELF DEAF GROW UP WHERE? CHICAGO WROTE BOOK QUOTE ""T-H-E L-A-W AND T-H-E DEAF"" QUOTE.",https://www.signingsavvy.com/sentences/deafculture/5982
"Mandy Harvey became deaf at the age of 18. Interestingly enough, she was a singer on the television show ""America's Got Talent.""","M-A-N-D-Y H-A-R-V-E-Y HERSELF BECOME DEAF AGE 18. INTERESTING WHAT? SHE SINGER #TV PROGRAM QUOTE ""AMERICA'S G-O-T T-A-L-E-N-T.""",https://www.signingsavvy.com/sentences/deafculture/5984
Alice Hagemeyer was a deaf librarian and active leader that established Deaf Awareness Week and Deaf History Month.,A-L-I-C-E H-A-G-E-M-E-Y-E-R HERSELF DEAF LIBRARIAN. SHE ACTIVE LEADER SHE ESTABLISHED DEAF AWARENESS WEEK AND DEAF HISTORY MONTH.,https://www.signingsavvy.com/sentences/deafculture/5986
Regina Hughes was the first deaf artist to have a solo show at the Smithsonian.,REGINA HUGHES HERSELF FIRST DEAF ARTIST HAVE SOLO SHOW WHERE? SMITHSONIAN.,https://www.signingsavvy.com/sentences/deafculture/5988
Ernest Hairston was one of the six founding members of the Black Deaf Advocates (BDA).,E-R-N-E-S-T H-A-I-R-S-T-O-N HIMSELF DEAF ONE OF SIX FOUNDING MEMBERS B-D-A BLACK DEAF ADVOCATES.,https://www.signingsavvy.com/sentences/deafculture/5990
Malcolm Norwood was a deaf man from Connecticut who was known as the Father of Closed Captioning.,M-A-L-C-O-L-M N-O-R-W-O-O-D HIMSELF DEAF FROM C-O-N-N PEOPLE CALLED QUOTE FATHER OF #CC (closed captions).,https://www.signingsavvy.com/sentences/deafculture/5992
Martin Belsky was a deaf man from Michigan who was a leader of deaf sports at the local and national level.,MARTIN BELSKY HIMSELF DEAF FROM MICHIGAN MANY YEARS INVOLVED LEADER DEAF S-P-O-R-T-S LOCAL AND NATIONAL LEVEL.,https://www.signingsavvy.com/sentences/deafculture/5994
Derrick Coleman was the first deaf football player to participate in the Super Bowl in 2014.,YEAR 2014 D-E-R-R-I-C-K C-O-L-E-M-A-N HE FIRST DEAF FOOTBALL PLAYER INVOLVED SUPER BOWL.,https://www.signingsavvy.com/sentences/deafculture/6059
In 1864 Abraham Lincoln approved Gallaudet College to award degrees.,YEAR 1864 ABRAHAM LINCOLN APPROVED GALLAUDET COLLEGE AWARDED DEGREES.,https://www.signingsavvy.com/sentences/deafculture/6068
Paul Hubbard was the quarterback for Gallaudet University in 1894 and he realized they needed a way to discuss plays in secret so he invented the football huddle.,YEAR 1894. P-A-U-L H-U-B-B-A-R-D HIMSELF GALLAUDET FOOTBALL Q-B HE DECIDE NEED SECRET DISCUSS P-L-A-Y INVENT HUDDLE.,https://www.signingsavvy.com/sentences/deafculture/7003
Kitty O'Neil was a well-known deaf stuntwoman and race car driver.,K-I-T-T-Y O'N-E-I-L HERSELF FAMOUS DEAF STUNT WOMAN AND RACE C-A-R DRIVER.,https://www.signingsavvy.com/sentences/deafculture/7383
"Ella Mae Lentz is a well-known Deaf teacher, poet, advocate, and author.",E-L-L-A M-A-E L-E-N-T-Z HERSELF FAMOUS DEAF TEACHER POET ADVOCATE AND AUTHOR.,https://www.signingsavvy.com/sentences/deafculture/7385
LeRoy Colombo was the first Deaf lifeguard. He saved 907 people.,L-E-R-O-Y C-O-L-O-M-B-O HIMSELF FIRST DEAF LIFEGUARD 907 PEOPLE HE SAVED.,https://www.signingsavvy.com/sentences/deafculture/7411
Clayton Valli was deaf and was the first person to receive a PhD in Linguistics and ASL Poetics.,C-L-A-Y-T-O-N V-A-L-L-I HIMSELF DEAF FIRST PERSON RECEIVE PHD LINGUISTICS AND ASL POETRY.,https://www.signingsavvy.com/sentences/deafculture/7413
"Robert Panera was the first deaf professor at the NTID (National Technical Institute for the Deaf). He was a successful author, historian, poet, and teacher.","R-O-B-E-R-T P-A-N-E-R-A HIMSELF FAMOUS WHY? FIRST DEAF PROFESSOR NTID. HE SUCCESSFUL AUTHOR, HISTORIAN, POET, TEACHER.",https://www.signingsavvy.com/sentences/deafculture/7415
"Alan Snare is a Deaf pastor, evangelist, and missionary to the deaf.","A-L-A-N S-N-A-R-E HIMSELF WELL KNOWN DEAF PASTOR, E-V-A-N-G-E-L-I-S-T AND MISSIONARY.",https://www.signingsavvy.com/sentences/deafculture/7417
KT Maviglia is hard of hearing and won the Miss Michigan pageant in 2015.,KT MAVIGLIA HERSELF HARD OF HEARING YEAR 2015 SHE WON MISS MICHIGAN PAGEANT.,https://www.signingsavvy.com/sentences/deafculture/7419
The first all-deaf vacation cruise took place through the Caribbean in 1992.,YEAR 1992 FIRST ALL DEAF CRUISE WHERE? C-A-R-I-B-B-E-A-N.,https://www.signingsavvy.com/sentences/deafculture/7606
Gallaudet University's mascot is the Bison.,GALLAUDET UNIVERSITY M-A-S-C-O-T WHAT? BISON.,https://www.signingsavvy.com/sentences/deafculture/7608
The National Technical Institute for the Deaf's mascot is the Tigers.,N-T-I-D THEIR M-A-S-C-O-T WHAT? TIGERS.,https://www.signingsavvy.com/sentences/deafculture/7610
"Thomas Edison, who was hard of hearing, invented the phonograph and light bulb.",T-H-O-M-A-S E-D-I-S-O-N HIMSELF HARD OF HEARING HE INVENTED PHONOGRAPH LIGHT B-U-L-B.,https://www.signingsavvy.com/sentences/deafculture/7612
Nellie Zabel Willhite was the world's first licensed deaf pilot.,N-E-L-L-I-E Z-A-B-E-L W-I-L-L-H-I-T-E HERSELF WORLD FIRST DEAF LICENSED PILOT.,https://www.signingsavvy.com/sentences/deafculture/7614
NTD stands for National Theatre of the Deaf.,N-T-D MEANS WHAT NATIONAL THEATER O-F T-H-E DEAF.,https://www.signingsavvy.com/sentences/deafculture/7616
I like to be active and not sit and watch TV all day.,ALL DAY I LIKE ACTIVE NOT SIT WATCH #TV.,https://www.signingsavvy.com/sentences/entertainment/5291
Sean Berdy is a deaf actor well known for acting on the TV series Switched at Birth.,S-E-A-N B-E-R-D-Y HIMSELF DEAF ACTOR FAMOUS WHY? HE INVOLVED #TV PROGRAM QUOTE SWITCHED A-T BIRTH.,https://www.signingsavvy.com/sentences/entertainment/5292
"Did you see the movie about the life of Kitty O’Neil, a deaf stuntwoman and racer?",YOU FINISH SEE MOVIE ABOUT DEAF WOMAN HERSELF FAMOUS S-T-U-N-T WOMAN AND CAR RACER. HER NAME K-I-T-T-Y O’-N-E-I-L.,https://www.signingsavvy.com/sentences/entertainment/5293
I watched a boring movie last night and fell asleep.,LAST NIGHT BORING MOVIE I WATCH FALL-ASLEEP ME.,https://www.signingsavvy.com/sentences/entertainment/5294
I love watching sports every Saturday.,EVERY SATURDAY S-P-O-R-T-S WATCH I LOVE.,https://www.signingsavvy.com/sentences/entertainment/5295
Granville Redmond was a deaf artist. He was friends with Charlie Chaplin and gave him tips from ASL to use when acting in silent films.,G-R-A-N-V-I-L-L-E R-E-D-M-O-N-D HIMSELF DEAF ARTIST. HE FRIEND WHO? C-H-A-R-L-I-E C-H-A-P-L-I-N. HE TEACH ASL FOR-FOR? USE DURING SILENT MOVIES.,https://www.signingsavvy.com/sentences/entertainment/5296
"Louise Fletcher is a CODA and actress. She one 3 awards. She won an Oscar, a BAFTA, and a Golden Globe award for one movie, called ""One Flew Over the Cuckoo's Nest"".",L-O-U-I-S-E F-L-E-T-C-H-E-R SHE C-O-D-A HERSELF ACTRESS SHE WON THREE AWARDS ONE-OF-THREE O-S-C-A-R TWO-OF-THREE B-A-F-T-A THREE-OF-THREE G-O-L-D-E-N G-L-O-B-E FOR ONE MOVIE QUOTE O-N-E F-L-E-W O-V-E-R T-H-E C-U-C-K-O-O’S N-E-S-T QUOTE.,https://www.signingsavvy.com/sentences/entertainment/5297
Marlee Matlin is a famous Deaf Actress. She won an Academy Award and a Golden Globe for her role in the movie Children of a Lesser God.,M-A-R-L-E-E M-A-T-L-I-N SHE FAMOUS DEAF ACTRESS. SHE WON BOTH A-C-A-D-E-M-Y A-W-A-R-D G-O-L-D-E-N G-L-O-B-E FOR HER ROLE MOVIE QUOTE CHILDREN O-F A L-E-S-S-E-R GOD.,https://www.signingsavvy.com/sentences/entertainment/5298
I laughed and laughed during the movie because it was funny.,ME LAUGH WHY? MOVIE FUNNY.,https://www.signingsavvy.com/sentences/entertainment/5299
Christy Smith was the first deaf contestant to appear on the reality TV show Survivor.,C-H-R-I-S-T-Y S-M-I-T-H HERSELF FIRST DEAF PERSON INVOLVE #TV PROGRAM TITLE S-U-R-V-I-V-O-R.,https://www.signingsavvy.com/sentences/entertainment/5300
Linda Bove is a deaf actress. She played the role of Linda the librarian on Sesame Street for 31 years.,L-I-N-D-A B-O-V-E HERSELF DEAF ACTRESS. SHE ACT #TV PROGRAM S-E-S-A-M-E S-T-R-E-E-T ROLE WHAT? L-I-N-D-A T-H-E LIBRARIAN CONTINUE 31 YEARS.,https://www.signingsavvy.com/sentences/entertainment/5301
The closed captions on our TV are always on.,OUR #TV #CC (closed captions) ALWAYS #ON.,https://www.signingsavvy.com/sentences/entertainment/5302
Melissa McCarthy's movies are always humorous.,M-E-L-I-S-S-A M-C-C-A-R-T-H-Y HER MOVIES ALWAYS HUMOROUS.,https://www.signingsavvy.com/sentences/entertainment/5303
"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","M-A-T-T H-A-M-I-L-L HIMSELF DEAF WRESTLER. HE LIST ACCOMPLISHMENTS ONE-OF-THREE THREE N-C-A-A NATIONAL CHAMPIONSHIPS, TWO-OF-THREE HE WON 1 SILVER MEDAL 1 GOLD MEDAL DEAFLYMPICS, THREE-OF-THREE HAVE MOVIE ABOUT HIS LIFE QUOTE “T-H-E H-A-M-M-E-R”.",https://www.signingsavvy.com/sentences/entertainment/5304
"Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play ""Children of a Lesser God.""",P-H-Y-L-L-I-S F-R-E-L-I-C-H HERSELF DEAF ACTRESS FAMOUS WHY? WIN T-O-N-Y AWARD FOR PLAY QUOTE “CHILDREN O-F A L-E-S-S-E-R GOD.”,https://www.signingsavvy.com/sentences/entertainment/5305
"Dwayne ""The Rock"" Johnson is hard as a rock, muscular, and has a nice smile.","D-W-A-Y-N-E ""T-H-E R-O-C-K"" J-O-H-N-S-O-N HIMSELF HARD-AS-A-ROCK BIG-SHOULDERS PLUS NICE SMILE.",https://www.signingsavvy.com/sentences/entertainment/5306
Keith Wann is a CODA and well-known ASL performer and comedian.,K-E-I-T-H W-A-N-N HIMSELF C-O-D-A. HE FAMOUS A-S-L ACTOR AND COMEDIAN.,https://www.signingsavvy.com/sentences/entertainment/5307
CJ Jones is a famous Deaf actor and comedian. He says “Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!”,C-J J-O-N-E-S HIMSELF FAMOUS DEAF ACTOR AND COMEDIAN. HE SAYS QUOTE ANYTHING POSSIBLE! NOTHING RELATED-TO DEAF BLACK DISABLED. ABOUT HAVING PASSION DO WONDERFUL THINGS LIFE.,https://www.signingsavvy.com/sentences/entertainment/5308
I hate pirate movies!,P-I-R-A-T-E (pirate) MOVIES I HATE!,https://www.signingsavvy.com/sentences/entertainment/5309
"I like to watch the movie ""Elf"" on Christmas Eve.",CHRISTMAS E-V-E MOVIE QUOTE E-L-F WATCH I LIKE.,https://www.signingsavvy.com/sentences/entertainment/5310
"My favorite movie is ""Groundhog Day.""",MY FAVORITE MOVIE WHAT? QUOTE G-R-O-U-N-D-H-O-G DAY.,https://www.signingsavvy.com/sentences/entertainment/5311
"My favorite science fiction movie is ""Star Wars.""","MY FAVORITE SCIENCE F-I-C-T-I-O-N MOVIE WHAT? QUOTE ""STAR WARS""",https://www.signingsavvy.com/sentences/entertainment/5312
"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.",L-O-U F-E-R-R-I-G-N-O HIMSELF HARD OF HEARING MOTIVATIONAL SPEAKER ABOUT HIS CUMULATIVE EXPERIENCES. HE ACT MANY MOVIES #TV PROGRAMS BUT MOST FAMOUS ROLE WHAT? T-H-E I-N-C-R-E-D-I-B-L-E H-U-L-K.,https://www.signingsavvy.com/sentences/entertainment/5313
Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek.,H-O-W-I-E S-E-A-G-O HIMSELF DEAF ACTOR DIRECTOR. HE FAMOUS MANY ROLES INCLUDING #TV PROGRAM S-T-A-R T-R-E-K.,https://www.signingsavvy.com/sentences/entertainment/5314
Shelley Beattie was a deaf professional weightlifter who became famous after being on the TV show American Gladiators.,S-H-E-L-L-E-Y B-E-A-T-T-I-E HERSELF DEAF P-R-O WEIGHTLIFTER. SHE BECAME FAMOUS WHY? SHE INVOLVED #TV PROGRAM AMERICAN G-L-A-D-I-A-T-O-R-S.,https://www.signingsavvy.com/sentences/entertainment/5315
MY FAVORITE PIRATE VIDEO GAME WHAT? P-L-U-N-D-E-R P-A-N-I-C!,MY FAVORITE PIRATE VIDEO GAME WHAT? P-L-U-N-D-E-R P-A-N-I-C.,https://www.signingsavvy.com/sentences/entertainment/7640
I love to cook hamburgers on the grill.,G-R-I-L-L HAMBURGER COOK I LOVE.,https://www.signingsavvy.com/sentences/food/5316
I love anything that has chocolate in it.,I LOVE ANYTHING HAVE CHOCOLATE INSIDE.,https://www.signingsavvy.com/sentences/food/5317
I like to eat cheese on my broccoli.,MY B-R-O-C-C-O-L-I CHEESE POUR I LIKE.,https://www.signingsavvy.com/sentences/food/5318
I need to drink coffee to wake me up every morning.,EVERY MORNING I WAKE UP HOW? COFFEE NEED DRINK ME.,https://www.signingsavvy.com/sentences/food/5319
I eat ice cream for dessert every night.,EVERY NIGHT DESSERT ICE CREAM I EAT.,https://www.signingsavvy.com/sentences/food/5320
I need a drink of water.,WATER DRINK I NEED.,https://www.signingsavvy.com/sentences/food/5321
Do you like Arby’s or Wendy’s french fries better?,FRENCH FRIES A-R-B-Y'S W-E-N-D-Y'S YOU LIKE BETTER WHICH?,https://www.signingsavvy.com/sentences/food/5322
My family grows watermelon in our garden.,OUR G-A-R-D-E-N WATERMELON MY FAMILY GROW GROW GROW.,https://www.signingsavvy.com/sentences/food/5323
My girlfriends are coming over for dinner tonight.,TONIGHT DINNER MY GIRLFRIENDS COME OVER.,https://www.signingsavvy.com/sentences/food/5324
My favorite vegetable is corn on the cob.,MY FAVORITE #VEG (vegetable) WHAT? CORN ON THE COB.,https://www.signingsavvy.com/sentences/food/5325
My favorite kind of popcorn is kettle corn.,MY FAVORITE KIND POPCORN WHICH? K-E-T-T-L-E C-O-R-N,https://www.signingsavvy.com/sentences/food/5326
My aunt makes the best cakes!,BEST CAKES MAKE WHO? MY AUNT.,https://www.signingsavvy.com/sentences/food/5327
M&M's are my favorite kind of candy.,MY FAVORITE CANDY WHAT? M-M.,https://www.signingsavvy.com/sentences/food/5328
Do you like chocolate ice cream?,CHOCOLATE ICE CREAM YOU LIKE?,https://www.signingsavvy.com/sentences/food/5329
I want to cook a dinner for you.,COOK DINNER FOR YOU I WANT.,https://www.signingsavvy.com/sentences/food/5330
I love to make and eat chocolate chip cookies!,CHOCOLATE C-H-I-P COOKIES BAKE EAT I ENJOY.,https://www.signingsavvy.com/sentences/food/5331
I am going out to dinner with friends Friday night.,FRIDAY NIGHT ME DO-DO? GO-OUT EAT WITH FRIENDS.,https://www.signingsavvy.com/sentences/food/5332
I like to drink a big glass of milk after exercising.,FINISH EXERCISE MILK BIG GLASS DRINK I LIKE.,https://www.signingsavvy.com/sentences/food/5333
My grandma bakes an apple pie every year for my birthday.,EVERY YEAR MY BIRTHDAY APPLE PIE MY GRANDMA BAKE.,https://www.signingsavvy.com/sentences/food/5334
I want to eat a chef salad.,C-H-E-F SALAD EAT I WANT.,https://www.signingsavvy.com/sentences/food/5335
Do you want to put sugar in your coffee?,YOUR COFFEE SUGAR PUT-IN YOU WANT?,https://www.signingsavvy.com/sentences/food/5336
Would you like a cup of tea?,CUP TEA YOU WANT?,https://www.signingsavvy.com/sentences/food/5337
"My son is not happy, I bought the wrong cereal.",MY SON NOT HAPPY WHY WRONG C-E-R-E-A-L I BUY.,https://www.signingsavvy.com/sentences/food/5338
I ate an egg with toast for breakfast.,BREAKFAST EGG TOAST I EAT FINISH.,https://www.signingsavvy.com/sentences/food/5339
Do you want to walk to the store to buy ice cream?,STORE YOU WANT WALK BUY ICE CREAM?,https://www.signingsavvy.com/sentences/food/5340
I drink 8 glasses of water everyday.,EVERYDAY 8 GLASSES WATER I DRINK.,https://www.signingsavvy.com/sentences/food/5341
Can you order me a cheeseburger?,CHEESEBURGER ORDER FOR ME CAN YOU?,https://www.signingsavvy.com/sentences/food/5342
I eat one apple a day.,EVERYDAY DO-DO ME? EAT ONE APPLE.,https://www.signingsavvy.com/sentences/food/5343
I eat one apple a day.,EVERYDAY DO-DO ME? EAT ONE APPLE.,https://www.signingsavvy.com/sentences/food/7643
I like bacon and eggs for breakfast.,BREAKFAST BACON EGGS EAT I LIKE I.,https://www.signingsavvy.com/sentences/food/5344
I love to bake chocolate chip cookies!,CHOCOLATE C-H-I-P COOKIES BAKE I LOVE!,https://www.signingsavvy.com/sentences/food/5345
We had a big barbecue on the 4th of July.,JULY FOURTH BIG B-B-Q WE HOST.,https://www.signingsavvy.com/sentences/food/5346
I eat oatmeal for breakfast everyday.,EVERYDAY BREAKFAST O-A-T-M-E-A-L EAT I.,https://www.signingsavvy.com/sentences/food/5347
There is no gum chewing in class.,CLASS CHEW-GUM NOT ALLOW.,https://www.signingsavvy.com/sentences/food/5348
The kids like to eat crackers and cheese.,CRACKERS CHEESE KIDS LIKE EAT.,https://www.signingsavvy.com/sentences/food/5349
"I have no energy, I need to eat.",I NEED EAT WHY? I HAVE NO ENERGY.,https://www.signingsavvy.com/sentences/food/5350
We put in a garden every summer.,EVERY SUMMER GARDEN WE PLANT.,https://www.signingsavvy.com/sentences/food/5351
I always eat hot dogs at baseball games.,BASEBALL GAMES HOT DOGS I ALWAYS EAT.,https://www.signingsavvy.com/sentences/food/5352
My favorite flavor of ice cream is butter pecan.,ICE CREAM MY #FAV FLAVOR WHAT? BUTTER P-E-C-A-N.,https://www.signingsavvy.com/sentences/food/5353
Can you meet me for lunch?,LUNCH MEET ME CAN YOU?,https://www.signingsavvy.com/sentences/food/5354
I like to eat microwave popcorn for a snack.,S-N-A-C-K I LIKE EAT WHAT? MICROWAVE POPCORN.,https://www.signingsavvy.com/sentences/food/5355
I will go to my parent's house for dinner.,MY PARENTS HOUSE DINNER GO WILL I.,https://www.signingsavvy.com/sentences/food/5356
The best time of year to buy peaches is during the summer.,BEST TIME YEAR BUY PEACHES WHEN? SUMMER.,https://www.signingsavvy.com/sentences/food/5357
We have several pear trees.,PEAR TREES WE HAVE SEVERAL.,https://www.signingsavvy.com/sentences/food/5358
I love pizza!,PIZZA I LOVE!,https://www.signingsavvy.com/sentences/food/5359
My mother’s baked potato soup is the BEST!,MY MOTHER HER B-A-K-E-D POTATO SOUP CHAMP (BEST).,https://www.signingsavvy.com/sentences/food/5360
My mom will make me peanut butter and jelly sandwiches for lunch.,LUNCH PEANUT BUTTER J-E-L-L-Y SANDWICHES MY MOM MAKE WILL.,https://www.signingsavvy.com/sentences/food/5361
Santa loves hot chocolate and cookies.,SANTA LOVES HOT CHOCOLATE COOKIES.,https://www.signingsavvy.com/sentences/food/5362
The two of you need to share the candy bar.,CANDY BAR TWO-OF-YOU NEED SHARE.,https://www.signingsavvy.com/sentences/food/5363
Simple recipes are the best because you don't have to buy many ingredients.,SIMPLE R-E-C-I-P-E BEST WHY? MANY INGREDIENTS NOT HAVE-TO BUY.,https://www.signingsavvy.com/sentences/food/5364
I want soup and salad for lunch.,LUNCH SOUP SALAD I WANT.,https://www.signingsavvy.com/sentences/food/5365
We are having spaghetti and meatballs for dinner.,DINNER SPAGHETTI MEAT B-A-L-L-S WE HAVE.,https://www.signingsavvy.com/sentences/food/5366
Would you like a straw in your drink?,YOUR DRINK STRAW YOU WANT?,https://www.signingsavvy.com/sentences/food/5367
For supper we're going to have spaghetti and meatballs.,SUPPER WHAT? SPAGHETTI MEAT B-A-L-L-S.,https://www.signingsavvy.com/sentences/food/5368
"At the party there were ten cookies left, so I took two.",PARTY TEN COOKIES LEFT ME TOOK TWO.,https://www.signingsavvy.com/sentences/food/5369
Would you like a slice of tomato on your sandwich?,YOUR SANDWICH TOMATO YOU WANT ADD?,https://www.signingsavvy.com/sentences/food/5370
My grandma bakes cherry pie for my birthday.,FOR MY BIRTHDAY CHERRY PIE MY GRANDMA BAKES.,https://www.signingsavvy.com/sentences/food/5371
The homemade bread was delicious.,HOMEMADE BREAD DELICIOUS.,https://www.signingsavvy.com/sentences/food/5372
My cat's favorite food is tuna.,T-U-N-A MY CAT FAVORITE FOOD.,https://www.signingsavvy.com/sentences/food/5373
I am allergic to peanuts.,PEANUTS ALLERGIC I.,https://www.signingsavvy.com/sentences/food/5374
I want a can of pop.,CAN POP I WANT.,https://www.signingsavvy.com/sentences/food/5375
My family went raspberry picking last weekend.,LAST WEEKEND R-A-S-P-B-E-R-R-Y PICKING MY FAMILY GO.,https://www.signingsavvy.com/sentences/food/5376
My uncle has a turkey farm.,TURKEY FARM MY UNCLE HAS.,https://www.signingsavvy.com/sentences/food/5377
I love peanut butter with pretzels.,PEANUT BUTTER WITH P-R-E-T-Z-E-L-S I LOVE.,https://www.signingsavvy.com/sentences/food/5378
My family goes to the strawberry farm every summer.,EVERY SUMMER STRAWBERRY FARM MY FAMILY GOES-TO.,https://www.signingsavvy.com/sentences/food/5379
I need to eat a variety of vegetables.,VARIETY #VEG (vegetables) EAT I NEED.,https://www.signingsavvy.com/sentences/food/5380
What kind of soft drink would you like - Coke or Pepsi?,SOFT DRINK WHICH YOU PREFER? #COKE PEPSI WHICH?,https://www.signingsavvy.com/sentences/food/5381
"I could eat pasta for breakfast, lunch and dinner.",BREAKFAST LUNCH DINNER PASTA EAT I COULD.,https://www.signingsavvy.com/sentences/food/5382
I love eating pretzels dipped in chocolate.,P-R-E-T-Z-E-L-S CHOCOLATE DIPPED I LOVE EAT.,https://www.signingsavvy.com/sentences/food/5383
"I want cupcakes for my birthday, not a cake.",MY BIRTHDAY C-U-P-C-A-K-E-S I WANT NOT CAKE.,https://www.signingsavvy.com/sentences/food/5384
I like to eat my donuts with coffee.,MY DONUTS I LIKE EAT WITH COFFEE.,https://www.signingsavvy.com/sentences/food/5385
I reached for the pitcher on the top shelf.,PITCHER TOP SHELF I REACHED.,https://www.signingsavvy.com/sentences/food/5386
Please wash your hands before dinner.,BEFORE DINNER WASH HANDS PLEASE.,https://www.signingsavvy.com/sentences/food/5387
I always eat Mexican food on Cinco De Mayo.,C-I-N-C-O D-E M-A-Y-O EAT MEXICAN FOOD I ALWAYS.,https://www.signingsavvy.com/sentences/food/5388
I always drink green beer on St. Patrick's Day.,ST. PATRICK'S DAY GREEN BEER I DRINK ALWAYS.,https://www.signingsavvy.com/sentences/food/5389
We planted the corn field.,FIELD C-O-R-N WE PLANT PLANT PLANT.,https://www.signingsavvy.com/sentences/food/5390
I like brown sugar on my sweet potato.,MY SWEET POTATO BROWN SUGAR SPRINKLE I LIKE.,https://www.signingsavvy.com/sentences/food/5391
September is National Blueberry Popsicle Month.,NATIONAL BLUEBERRY POPSICLE MONTH WHEN? S-E-P-T.,https://www.signingsavvy.com/sentences/food/5392
I wish we had more healthy school lunch options.,MORE HEALTHY SCHOOL LUNCH OPTIONS I WISH WE HAD.,https://www.signingsavvy.com/sentences/food/5393
Growing up we ate lasagna every Friday night.,GROW UP EVERY FRIDAY NIGHT LASAGNA WE ATE.,https://www.signingsavvy.com/sentences/food/5394
Which Girl Scout cookie is your favorite?,GIRL SCOUT COOKIE YOUR FAVORITE WHICH?,https://www.signingsavvy.com/sentences/food/5395
Can I offer you a refreshment?,REFRESHMENT CAN I OFFER YOU?,https://www.signingsavvy.com/sentences/food/5396
This year I took my boyfriend out to eat on Sweetest Day.,THIS YEAR S-W-E-E-T-E-S-T DAY MY BOYFRIEND I TOOK OUT EAT.,https://www.signingsavvy.com/sentences/food/5397
I eat macaroni and cheese with broccoli every week.,EVERY WEEK M-A-C AND CHEESE WITH B-R-O-C-C-O-L-I EAT I.,https://www.signingsavvy.com/sentences/food/5398
